customers_id,customer_unique_id,customer_zip_code,customer_city,customer_state
46,PB- 460,58090,Joao Pessoa,PB
47,SP- 26154,12330,Jacarei,SP
48,SP- 7004,13295,Itupeva,SP
49,SC- 2366,89188,Agronomica,SC
50,MG- 2631,35145,Sobralia,MG
51,SC- 3577,89804,Chapeco,SC
52,SP- 9401,2926,Sao Paulo,SP
53,SP- 36478,13860,Aguai,SP
54,SP- 28209,8940,Biritiba-Mirim,SP
55,RJ- 1607,28895,Rio Das Ostras,RJ
56,MG- 6538,37578,Bueno Brandao,MG
57,BA- 2611,45530,Itacare,BA
58,SP- 27895,3183,Sao Paulo,SP
59,SP- 23607,18650,Sao Manuel,SP
60,MS- 593,79117,Campo Grande,MS
61,RJ- 6408,22775,Rio De Janeiro,RJ
62,PB- 172,58102,Cabedelo,PB
63,SP- 37787,2728,Sao Paulo,SP
64,SP- 36014,5171,Sao Paulo,SP
65,SP- 27622,13208,Jundiai,SP
66,RJ- 8394,28895,Rio Das Ostras,RJ
67,MG- 10994,36016,Juiz De Fora,MG
68,PR- 1790,81880,Curitiba,PR
69,SP- 6991,4929,Sao Paulo,SP
70,SP- 13342,9781,Sao Bernardo Do Campo,SP
71,PR- 4928,80730,Curitiba,PR
72,RJ- 846,22210,Rio De Janeiro,RJ
73,SP- 16128,8450,Sao Paulo,SP
74,SP- 19180,14071,Ribeirao Preto,SP
75,SP- 7723,11440,Guaruja,SP
76,PB- 190,58052,Joao Pessoa,PB
77,PR- 810,84040,Ponta Grossa,PR
78,RJ- 8686,24808,Itaborai,RJ
79,RJ- 525,20021,Rio De Janeiro,RJ
80,RS- 2113,93800,Sapiranga,RS
81,RS- 364,95041,Caxias Do Sul,RS
82,MS- 15,79621,Tres Lagoas,MS
83,SP- 4975,3040,Sao Paulo,SP
84,RJ- 9738,24342,Niteroi,RJ
85,SP- 14156,9270,Santo Andre,SP
86,SP- 37210,5857,Sao Paulo,SP
87,PR- 831,85420,Corbelia,PR
88,RJ- 9937,26562,Mesquita,RJ
89,PR- 1390,84035,Ponta Grossa,PR
90,SP- 20757,18305,Capao Bonito,SP
91,CE- 418,60175,Fortaleza,CE
92,SP- 7956,3813,Sao Paulo,SP
93,SP- 16652,3981,Sao Paulo,SP
94,BA- 2268,41200,Salvador,BA
95,SC- 815,88200,Tijucas,SC
96,RS- 4752,90670,Porto Alegre,RS
97,RJ- 5948,21041,Rio De Janeiro,RJ
98,SP- 28498,13190,Monte Mor,SP
99,SP- 19220,4310,Sao Paulo,SP
100,SP- 801,12288,Cacapava,SP
101,SP- 29055,12942,Atibaia,SP
102,MG- 5162,31260,Belo Horizonte,MG
103,MG- 11130,32604,Betim,MG
104,SP- 9812,4551,Sao Paulo,SP
105,PR- 4505,84130,Palmeira,PR
106,RJ- 10601,23085,Rio De Janeiro,RJ
107,SP- 29100,3059,Sao Paulo,SP
108,PR- 1524,87710,Paranavai,PR
109,MT- 586,78008,Cuiaba,MT
110,SP- 38509,5027,Sao Paulo,SP
111,PR- 1940,87600,Nova Esperanca,PR
112,SP- 26083,14870,Jaboticabal,SP
113,MG- 3821,38730,Guimarania,MG
114,SP- 5191,11250,Bertioga,SP
115,MT- 69,78795,Pedra Preta,MT
116,PA- 537,66087,Belem,PA
117,SP- 12614,4623,Sao Paulo,SP
118,SP- 14789,19560,Indiana,SP
119,SP- 13300,8775,Mogi Das Cruzes,SP
120,SP- 18226,5894,Sao Paulo,SP
121,SP- 25607,8223,Sao Paulo,SP
122,MG- 6641,37026,Varginha,MG
123,MT- 19,78400,Diamantino,MT
124,SC- 1023,89540,Santa Cecilia,SC
125,ES- 1028,29162,Serra,ES
126,SP- 13373,9370,Maua,SP
127,RS- 2432,95680,Canela,RS
128,SP- 38706,2066,Sao Paulo,SP
129,SP- 20613,4863,Sao Paulo,SP
130,SP- 17891,4564,Sao Paulo,SP
131,BA- 154,45870,Mascote,BA
132,BA- 2786,40285,Salvador,BA
133,SP- 28654,1222,Sao Paulo,SP
134,SP- 14337,5416,Sao Paulo,SP
135,SP- 28224,13214,Jundiai,SP
136,BA- 2768,45818,Trancoso,BA
137,MG- 5264,39495,Montalvania,MG
138,RS- 4233,98130,Julio De Castilhos,RS
139,SP- 39556,7401,Aruja,SP
140,RN- 115,59610,Mossoro,RN
141,RJ- 5165,20521,Rio De Janeiro,RJ
