products_id,product_category_name,total_price,total_freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_width_cm,product_height_cm
1,perfumery,101.65,18.59,53,596,6,300,20,16,16
2,auto,129.90,13.93,56,752,4,1225,55,26,10
3,bed_bath_table,229.00,13.10,50,266,2,300,45,35,15
4,housewares,58.90,19.60,25,364,3,550,19,12,24
5,watches_gifts,199.00,19.27,48,613,4,250,22,15,11
6,auto,52.00,15.80,58,177,1,100,16,16,15
7,cool_stuff,249.00,13.24,42,2461,1,700,25,15,5
8,consoles_games,38.90,9.34,53,274,1,600,30,20,20
9,bed_bath_table,78.90,21.19,42,253,1,6000,40,30,4
10,furniture_decor,34.99,21.15,45,520,3,600,26,22,8
11,bed_bath_table,79.90,20.74,50,381,1,1800,47,41,21
12,health_beauty,32.98,8.27,56,3893,6,300,30,15,15
13,fashion_shoes,199.70,23.98,55,344,3,1850,36,16,37
14,computers_accessories,29.00,8.72,58,946,6,650,25,15,10
15,housewares,79.99,9.12,53,631,2,750,30,35,5
16,cool_stuff,108.00,14.10,18,263,1,355,22,12,16
17,furniture_decor,129.90,98.02,54,1750,3,2600,105,70,3
18,cool_stuff,39.00,16.11,44,629,3,600,40,40,30
19,toys,79.90,13.00,43,112,5,350,45,30,30
20,pet_shop,43.00,22.06,59,1295,1,200,20,11,11
21,housewares,16.00,7.39,36,707,3,150,20,15,10
22,sports_leisure,39.90,9.34,28,502,4,800,25,25,25
23,garden_tools,153.00,15.16,40,437,1,1550,26,20,6
24,sports_leisure,99.98,11.72,59,1100,6,1550,16,16,10
25,garden_tools,35.99,10.96,53,866,3,200,18,13,5
26,furniture_living_room,179.90,21.87,52,420,2,5050,50,50,8
27,luggage_accessories,94.90,19.90,55,214,1,1000,16,36,46
28,home_construction,222.00,27.63,55,900,4,1850,45,45,12
29,kitchen_dining_laundry_garden_furniture,449.00,43.10,55,705,2,21100,100,60,20
30,sports_leisure,36.00,17.60,43,1213,1,1800,30,22,22
31,furniture_decor,14.90,12.48,51,1470,3,150,35,25,2
32,health_beauty,39.90,7.00,60,1883,3,175,23,13,11
33,sports_leisure,527.99,20.14,36,1105,1,380,18,14,12
34,construction_tools_construction,390.00,16.48,59,1691,1,20400,30,30,30
35,sports_leisure,19.25,26.89,51,695,1,200,20,18,18
36,furniture_decor,349.90,18.21,50,319,1,900,100,12,11
37,housewares,49.00,13.92,46,647,1,550,30,25,10
38,furniture_bedroom,229.00,34.66,44,776,2,10000,65,35,35
39,perfumery,13.99,7.39,54,942,1,50,16,11,5
40,fashion_male_clothing,43.50,15.10,33,384,1,400,17,20,7
41,sports_leisure,69.99,9.32,59,3029,1,1200,20,20,20
