geolocation_zip_code,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1001,-23.550498,-46.634338,Sao Paulo,SP
1002,-23.548551,-46.635072,Sao Paulo,SP
1003,-23.549032,-46.635313,Sao Paulo,SP
1004,-23.549535,-46.634307,Sao Paulo,SP
1005,-23.549472,-46.637404,Sao Paulo,SP
1006,-23.550524,-46.636694,Sao Paulo,SP
1007,-23.549177,-46.638635,Sao Paulo,SP
1008,-23.544924,-46.635281,Sao Paulo,SP
1009,-23.546341,-46.636239,Sao Paulo,SP
1010,-23.545362,-46.634690,Sao Paulo,SP
1011,-23.546690,-46.635447,Sao Paulo,SP
1012,-23.547119,-46.634881,Sao Paulo,SP
1013,-23.547325,-46.634184,Sao Paulo,SP
1014,-23.544762,-46.633958,Sao Paulo,SP
1015,-23.547974,-46.633469,Sao Paulo,SP
1016,-23.549443,-46.632350,Sao Paulo,SP
1017,-23.549813,-46.630350,Sao Paulo,SP
1018,-23.551846,-46.633756,Sao Paulo,SP
1019,-23.551626,-46.630412,Sao Paulo,SP
1020,-23.551854,-46.629200,Sao Paulo,SP
1021,-23.544601,-46.632540,Sao Paulo,SP
1022,-23.544987,-46.633454,Sao Paulo,SP
1023,-23.543571,-46.632011,Sao Paulo,SP
1024,-23.540675,-46.629660,Sao Paulo,SP
1025,-23.540411,-46.631265,Sao Paulo,SP
1026,-23.539840,-46.630264,Sao Paulo,SP
1027,-23.537853,-46.630467,Sao Paulo,SP
1028,-23.536478,-46.631129,Sao Paulo,SP
1029,-23.540886,-46.632850,Sao Paulo,SP
1030,-23.538364,-46.632930,Sao Paulo,SP
1031,-23.544190,-46.636290,Sao Paulo,SP
1032,-23.541191,-46.634993,Sao Paulo,SP
1033,-23.539147,-46.635832,Sao Paulo,SP
1034,-23.542144,-46.637456,Sao Paulo,SP
1035,-23.540984,-46.642569,Sao Paulo,SP
1036,-23.540451,-46.643570,Sao Paulo,SP
1037,-23.546705,-46.640336,Sao Paulo,SP
1038,-23.543672,-46.639713,Sao Paulo,SP
1039,-23.541883,-46.639919,Sao Paulo,SP
1040,-23.543111,-46.641044,Sao Paulo,SP
1041,-23.543496,-46.640524,Sao Paulo,SP
1042,-23.544151,-46.641223,Sao Paulo,SP
1043,-23.544737,-46.642264,Sao Paulo,SP
1044,-23.546454,-46.640845,Sao Paulo,SP
1045,-23.541594,-46.641894,Sao Paulo,SP
1046,-23.546129,-46.642951,Sao Paulo,SP
1047,-23.545737,-46.640484,Sao Paulo,SP
1048,-23.547170,-46.639570,Sao Paulo,SP
1049,-23.545307,-46.636995,Sao Paulo,SP
1050,-23.548723,-46.643762,Sao Paulo,SP
1101,-23.533719,-46.633278,Sao Paulo,SP
1102,-23.522610,-46.629424,Sao Paulo,SP
1103,-23.535408,-46.632053,Sao Paulo,SP
1104,-23.535009,-46.629635,Sao Paulo,SP
1105,-23.534834,-46.629984,Sao Paulo,SP
1106,-23.527993,-46.629339,Sao Paulo,SP
1107,-23.528933,-46.627174,Sao Paulo,SP
1108,-23.521673,-46.636444,Sao Paulo,SP
1109,-23.521872,-46.628912,Sao Paulo,SP
1120,-23.528646,-46.640377,Sao Paulo,SP
1121,-23.529930,-46.636036,Sao Paulo,SP
1122,-23.529996,-46.640406,Sao Paulo,SP
1123,-23.528547,-46.636834,Sao Paulo,SP
1124,-23.529369,-46.634060,Sao Paulo,SP
1125,-23.525287,-46.640888,Sao Paulo,SP
1126,-23.525269,-46.638895,Sao Paulo,SP
1127,-23.524623,-46.639974,Sao Paulo,SP
1128,-23.522859,-46.639587,Sao Paulo,SP
1129,-23.524373,-46.647432,Sao Paulo,SP
1130,-23.523262,-46.645646,Sao Paulo,SP
1131,-23.522878,-46.650133,Sao Paulo,SP
1132,-23.520905,-46.648407,Sao Paulo,SP
1133,-23.518812,-46.654698,Sao Paulo,SP
1134,-23.519144,-46.651251,Sao Paulo,SP
1135,-23.526908,-46.650894,Sao Paulo,SP
1136,-23.525866,-46.651978,Sao Paulo,SP
1137,-23.520086,-46.654321,Sao Paulo,SP
1138,-23.521933,-46.651832,Sao Paulo,SP
1139,-23.522467,-46.660667,Sao Paulo,SP
1140,-23.517099,-46.676539,Sao Paulo,SP
1141,-23.519292,-46.665720,Sao Paulo,SP
1142,-23.519934,-46.625130,Sao Paulo,SP
1144,-23.523847,-46.673621,Sao Paulo,SP
1150,-23.532143,-46.658280,Sao Paulo,SP
1151,-23.531294,-46.656404,Sao Paulo,SP
1152,-23.532412,-46.656124,Sao Paulo,SP
1153,-23.528620,-46.653310,Sao Paulo,SP
1154,-23.530607,-46.661307,Sao Paulo,SP
1155,-23.528383,-46.662123,Sao Paulo,SP
1156,-23.527571,-46.662754,Sao Paulo,SP
1189,-23.532108,-46.638395,Sao Paulo,SP
1200,-23.531568,-46.649869,Sao Paulo,SP
1201,-23.535601,-46.648012,Sao Paulo,SP
1202,-23.531509,-46.649965,Sao Paulo,SP
1203,-23.532630,-46.647808,Sao Paulo,SP
1204,-23.532125,-46.646987,Sao Paulo,SP
1205,-23.529536,-46.649018,Sao Paulo,SP
1206,-23.540183,-46.639540,Sao Paulo,SP
1207,-23.537292,-46.639943,Sao Paulo,SP
1208,-23.539984,-46.638627,Sao Paulo,SP
1209,-23.540730,-46.642508,Sao Paulo,SP
1210,-23.539997,-46.642429,Sao Paulo,SP
1211,-23.537753,-46.648289,Sao Paulo,SP
1212,-23.537681,-46.640346,Sao Paulo,SP
